date,sales_rep,customer,product,quantity,unit_price,discount_rate
2025-11-01,田中,ABC商事,商品A,1,1000,0.0
2025-11-02,佐藤,XYZ工業,商品B,2,2000,0.05
2025-11-03,鈴木,DEF商会,商品C,3,3000,0.1
2025-11-04,高橋,GHI製作所,商品A,4,1000,0.0
2025-11-05,田中,ABC商事,商品B,5,2000,0.05
2025-11-06,佐藤,XYZ工業,商品C,1,3000,0.1
2025-11-07,鈴木,DEF商会,商品A,2,1000,0.0
2025-11-08,高橋,GHI製作所,商品B,3,2000,0.05
2025-11-09,田中,ABC商事,商品C,4,3000,0.1
2025-11-10,佐藤,XYZ工業,商品A,5,1000,0.0
2025-11-11,鈴木,DEF商会,商品B,1,2000,0.05
2025-11-12,高橋,GHI製作所,商品C,2,3000,0.1
2025-11-13,田中,ABC商事,商品A,3,1000,0.0
2025-11-14,佐藤,XYZ工業,商品B,4,2000,0.05
2025-11-15,鈴木,DEF商会,商品C,5,3000,0.1
2025-11-16,高橋,GHI製作所,商品A,1,1000,0.0
2025-11-17,田中,ABC商事,商品B,2,2000,0.05
2025-11-18,佐藤,XYZ工業,商品C,3,3000,0.1
2025-11-19,鈴木,DEF商会,商品A,4,1000,0.0
2025-12-20,高橋,GHI製作所,商品B,5,2000,0.05
